batch,name,age,ploidy,tn5,digitonin,tween,incubation_time,incubation_agitation,pcr_cycles,buffer,subnuc,mononuc,dinuc,ratio_subSURmono,ratio_subSURdi,ratio_monoSURdi,unimap,filtered_reads,SL4.0ch00,SL4.0ch01,SL4.0ch02,SL4.0ch03,SL4.0ch04,SL4.0ch05,SL4.0ch06,SL4.0ch07,SL4.0ch08,SL4.0ch09,SL4.0ch10,SL4.0ch11,SL4.0ch12,chMt,chPt,TSS_EnrichmentScore,TSS_EnrichmentScore_smallFrags
1,M2S2,6,4,0.5,0,0,30,300,12,gif,25200,8710,1420,2.9,17.7,6.1,3.7,1801526,0.640354723525595,0.0100525350129095,0.00609977781228852,0.00688907736406755,0.00792702120101802,0.00867410964577402,0.00662733640082357,0.0070532352357906,0.00815669456280496,0.0222696812737212,0.0169242785383516,0.015111223217534,0.00808841849844146,0.0852874293910898,0.150484458319789,2.17510326395075,2.52800855290999
1,M2S3,6,4,0.1,0,0,30,300,14,gif,15700,3290,1920,4.8,8.2,1.7,13,9588002,0.521995201685699,0.0318064044329323,0.0175416100846365,0.0199226447434099,0.0222895105202666,0.0228356001727877,0.0167623643209345,0.0219240473986071,0.0220011962126642,0.0336335918160538,0.0302002345110238,0.0261652233106616,0.0225059118751536,0.0839702651801351,0.106446193735033,1.48349699254275,1.53080765606476
1,M2S4,6,4,0.05,0,0,30,300,15,gif,22500,6460,1280,3.5,17.6,5,7.9,4221338,0.592458539745331,0.0190835197773557,0.011130962549714,0.0119065837322468,0.0133046816746352,0.0138790772414937,0.01072510071471,0.0131015150650106,0.0139386380272824,0.0260171660950393,0.0223731163242942,0.0195883723038242,0.0143363199592102,0.0845138435431879,0.133642563246664,1.37458147158673,1.36865233169576
1,M3S2,6,4,0.2,0,0,30,300,10,gif,3580,1250,323,2.9,11.1,3.9,2.2,1711746,0.659586136793093,0.00702892464910477,0.00444541582137368,0.0049197046668252,0.0059078476833185,0.0067672152682235,0.00510923406183236,0.00488738704352025,0.00595994796941857,0.021922695413351,0.0144530867023416,0.0134566068479736,0.00611393193928334,0.0755863663432706,0.163855498797069,2.40565420599771,3.09706339301633
1,M3S5,9,4,0.2,0,0,30,300,12,gif,2850,888,245,3.2,11.6,3.6,21.5,10626130,0.458473542816001,0.0422106507720561,0.0238083968060094,0.0285643179341837,0.0304108309588879,0.0325397918248718,0.0220936663513321,0.0317238722865813,0.0307952793586653,0.0436591266464752,0.0373819165890786,0.0318072166230279,0.0307925332986669,0.0419759051070374,0.113762952627124,2.92829570519103,4.60457627039995
1,M4S1,6,4,0.2,0,0,20,300,14,gif,7520,2540,1090,3,6.9,2.3,16.3,10562112,0.502579505740369,0.0345450794101999,0.0190841043481845,0.0226126164036692,0.0247201309483579,0.0264397084063126,0.0186088068095207,0.0260258143801873,0.0258469068732,0.0369847526061067,0.0322823170336349,0.0277112334505725,0.0251287434136144,0.0623463570326559,0.115083923143413,2.21201607659461,2.45552550379033
1,M4S2,6,4,0.2,0,0,10,300,14,gif,3660,1820,922,2,4,2,7.2,8225524,0.612018213400766,0.0161073223504968,0.00906060235300037,0.0106295351690276,0.0111747235438561,0.0130447235046284,0.00863097134126991,0.0113020492179694,0.0122224100330702,0.0258372830042337,0.0199116096842636,0.0166621971191218,0.0122038590549055,0.0668957805608408,0.154298719662548,1.72790155635197,1.82393419283398
1,M4S5,6,8,0.2,0,0,10,300,14,gif,10300,3600,1310,2.9,7.9,2.7,19.3,16724186,0.462389779432957,0.0432529132032652,0.0235749813325281,0.028103169328421,0.0301385533031433,0.0304435559974514,0.0231576101086856,0.0305412925955724,0.0313222614353877,0.0407078978814828,0.0363312536895859,0.030955572802905,0.030725056886883,0.0540671032469902,0.10428899875474,1.55932816908909,1.57442458412069
1,M5S1,9,2,0.2,0,0,20,300,13,gif,2820,1040,473,2.7,6,2.2,17.6,14211680,0.494458825641314,0.0363410333841562,0.0208449926367986,0.0235204769830162,0.0267329839200459,0.027849723519893,0.019301243796562,0.0271092477947763,0.0259839205176638,0.0388820099822965,0.032351862119897,0.0277496803326592,0.0261740529934829,0.0511012825939964,0.12159866378344,2.04331339979271,2.50766367082153
1,M5S2,9,4,0.2,0,0,20,300,13,gif,2730,761,381,3.6,7.2,2,25.7,16703178,0.40231715770761,0.0527380669331088,0.0285522692651043,0.0343678397684401,0.0363055264675091,0.0407148236112681,0.0251097262184107,0.0394442608251189,0.0365620007883996,0.0509387828877241,0.043067140217347,0.0358776838966629,0.0372079348916921,0.0450657538125306,0.0917310327090724,2.4830872934312,2.78672027612209
